# Constructed from biom file
#OTU ID	SRR15851693	SRR15851694	SRR15851695	SRR15851696	SRR15851697	SRR15851698	SRR15851699	SRR15851700	SRR15851701	SRR15851702	SRR15851703	SRR15851704	SRR15851705	SRR15851706	SRR15851707	SRR15851708	SRR15851709	SRR15851710	SRR15851711	SRR15851712
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum	0.0406648857227664	0.0	0.019072847682119205	0.06730618021701526	0.03064176749079432	0.02429486646143606	0.018290808484475868	0.006498413178177421	0.01807278403023084	0.013163668275559455	0.0	0.0049625552648199945	0.0	0.0	0.0034263338228095936	0.014897074756229686	0.03958852867830424	0.027082028804007514	0.0267890363388317	0.01644862673093107
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;__	0.004452359750667854	0.012159533073929961	0.004503311258278146	0.0	0.01117832719621252	0.004326483068474915	0.008453735013833385	0.0025691400936980503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021820448877805487	0.02144646211646838	0.0008681632146843607	0.0020656414964425065
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__HT002	0.0	0.0	0.0	0.0	0.016964755391899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025011579434923575	0.005059483112265828	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus	0.0	0.0	0.005827814569536424	0.0	0.011967385586533404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02000926354793886	0.0	0.008688203622124326	0.016251354279523293	0.00903990024937656	0.0	0.01351854148579933	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;__	0.012466607301869992	0.00963035019455253	0.001501103752759382	0.0	0.0034192530247238295	0.0031616607038855147	0.0	0.010881063926250567	0.004764643062515403	0.022378236068451074	0.0	0.0	0.0	0.008341309995897717	0.0	0.0033856988082340196	0.022288029925187032	0.008140262993112084	0.006449212451940965	0.002448167699487415
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter	0.0	0.00963035019455253	0.023399558498896248	0.0206007233841799	0.020120988953182536	0.005574507030534986	0.0	0.01979749131026145	0.010268627289903886	0.007459412022817025	0.01737527971567724	0.007579175313543265	0.007688744789254284	0.0	0.022393538913362702	0.007448537378114843	0.0021820448877805485	0.01393237319974953	0.0	0.01729018437762987
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes	0.00875630750964678	0.017315175097276266	0.0	0.0	0.0291951604418727	0.011648223645894	0.014909314478942514	0.04443101103218981	0.0121580547112462	0.01645458534444932	0.024746610504146373	0.005503924930073085	0.007132931912922649	0.0	0.0	0.0	0.0	0.026455854727614275	0.02592087312414734	0.0036722515492311225
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_eligens_group	0.0	0.0	0.01739514348785872	0.03192325837395817	0.016701735928458705	0.020550794575255844	0.018137104211497078	0.0	0.004846792080834634	0.0	0.016190601553244702	0.030136244699088693	0.044372394627142195	0.0	0.02557513460597161	0.020043336944745395	0.0	0.007670632435817157	0.0	0.006655955932981409
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-56	0.0	0.0	0.0	0.0	0.008022093634928985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03869527471164579	0.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonadaceae	0.0	0.0	0.0	0.0	0.0005260389268805891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
